safra,rows,fut_active_rate,churn_rate,label_trust
201501,669914,0.0,0.0,0
201502,669655,0.0,0.0,0
201503,679642,0.0,0.0,0
201504,658415,0.0,0.0,0
201505,650770,0.0,0.0,0
201506,650390,0.0,0.0,0
201507,652810,0.0,0.0,0
201508,662635,0.0,0.0,0
201509,675098,0.0,0.0,0
201510,694894,0.9354995150339476,0.0,0
201511,701441,0.962182136487602,0.0,0
201512,719693,0.8781244224968147,0.0,0
201601,711399,0.8476675942424655,0.139943969558574,1
201602,738268,0.8500451007950326,0.1401604837267767,1
201603,689588,0.8236782920074347,0.0780669037164219,1
201604,673273,0.9244859728083816,0.0453411914631954,1
201605,679232,0.9185375809743545,0.0486843964948647,1
201606,675239,0.9072702298314896,0.0492403430489056,1
201607,765726,0.9151057248984664,0.0334937040142296,1
201608,770915,0.8824070110350076,0.0566314055375754,1
201609,775915,0.8819486044648667,0.0503251000431748,1
201610,786597,0.0,1.0,0
201611,760799,0.0,1.0,0
